Match_ID,Player_ID,Runs,Wickets,Strike_Rate,Match_Date
M00001,P1371,15,1,84.72,2025/03/10
M00002,P3786,15,1,133.9,2025-01-15
M00003,P1417,18,3,151.69,2025-01-15
M00004,P3636,141,3,210.92,2025/03/10
M00005,P2963,10,0,56.05,15/02/2025
M00006,P2664,89,3,131.19,15/02/2025
M00007,P0088,14,0,181.51,15/02/2025
M00008,P2189,97,5,166.21,2025-01-15
M00009,P2264,123,0,115.81,Apr 12 2025
M00010,P2849,32,3,169.23,15/02/2025
M00011,P0474,112,0,202.51,2025/03/10
M00012,P1441,49,2,124.21,2025-01-15
M00013,P0976,59,0,150.06,15/02/2025
M00014,P1692,137,4,57.78,2025-01-15
M00015,P3577,63,6,59.67,2025-01-15
M00016,P0520,112,1,98.04,2025/03/10
M00017,P1433,62,2,72.05,Apr 12 2025
M00018,P1961,31,5,63.06,2025/03/10
M00019,P3844,139,1,134.14,2025/03/10
M00020,P3677,56,3,171.23,2025/03/10
M00021,P3196,141,2,,15/02/2025
M00022,P2158,68,2,,2025-01-15
M00023,P0222,88,3,,Apr 12 2025
M00024,P1146,20,1,,15/02/2025
M00025,P1250,141,1,,15/02/2025
M00026,P0147,60,5,,Apr 12 2025
M00027,P0468,5,3,,2025/03/10
M00028,P1139,150,3,,2025-01-15
M00029,P0245,71,6,,Apr 12 2025
M00030,P0078,97,3,,15/02/2025
M00031,P0843,97,1,,2025-01-15
M00032,P2706,78,0,,2025/03/10
M00033,P3839,6,4,,2025/03/10
M00034,P3780,67,6,,15/02/2025
M00035,P3102,7,2,,Apr 12 2025
M00036,P3547,109,6,,2025-01-15
M00037,P3308,27,4,,2025/03/10
M00038,P3517,136,3,,2025/03/10
M00039,P0666,97,3,,15/02/2025
M00040,P0541,3,2,,2025/03/10
M00041,P0351,63,6,,2025/03/10
M00042,P2340,101,0,,2025/03/10
M00043,P1101,64,6,,2025-01-15
M00044,P0510,78,4,,2025/03/10
M00045,P3472,45,3,,Apr 12 2025
M00046,P0037,119,0,,Apr 12 2025
M00047,P2613,142,1,,2025-01-15
M00048,P1133,141,2,,Apr 12 2025
M00049,P0737,66,6,,2025/03/10
M00050,P3560,126,1,,15/02/2025
M00051,P0602,12,1,,2025-01-15
M00052,P0755,129,6,124.85,2025/03/10
M00053,P0172,141,5,88.75,2025/03/10
M00054,P1055,4,5,193.64,2025/03/10
M00055,P2214,11,4,89.9,2025-01-15
M00056,P0318,129,3,69.24,2025-01-15
M00057,P0971,52,2,146.96,Apr 12 2025
M00058,P0293,109,2,74.32,2025/03/10
M00059,P2487,92,2,215.77,2025/03/10
M00060,P1928,75,4,55.3,2025/03/10
M00061,P0183,74,1,205.02,2025-01-15
M00062,P0436,54,6,103.23,2025/03/10
M00063,P3850,55,3,191.22,2025-01-15
M00064,P2692,38,3,179.64,2025-01-15
M00065,P0317,57,4,135.59,Apr 12 2025
M00066,P2208,31,6,199.34,2025-01-15
M00067,P2487,120,5,139.16,Apr 12 2025
M00068,P1299,68,1,192.12,2025/03/10
M00069,P3732,62,2,91.32,2025/03/10
M00070,P0946,116,2,177.19,2025-01-15
M00071,P2839,61,3,174.58,Apr 12 2025
M00072,P1483,20,2,145.28,2025-01-15
M00073,P3747,92,5,132.31,15/02/2025
M00074,P1839,107,1,146.79,15/02/2025
M00075,P3792,137,1,182.0,Apr 12 2025
M00076,P2762,149,5,73.48,2025/03/10
M00077,P3260,73,2,103.35,2025-01-15
M00078,P1674,107,4,217.15,Apr 12 2025
M00079,P2592,50,1,198.99,2025-01-15
M00080,P0684,30,3,94.77,Apr 12 2025
