Player_ID,Player_Name,Team,Role,Age
P0001,Player_1,MI,Batsman,26
P0002,Player_2,KKR,Bowler,22
P0003,Player_3,MI,Batsman,36
P0004,Player_4,DC,Batsman,18
P0005,Player_5,MI,Bowler,25
P0006,Player_6,GT,Batsman,35
P0007,Player_7,KKR,Wicket Keeper,25
P0008,Player_8,PBKS,All-Rounder,18
P0009,Player_9,CSK,Wicket Keeper,28
P0010,Player_10,SRH,Bowler,24
P0011,,RR,Batsman,20
P0012,,DC,Batsman,29
P0013,,RR,All-Rounder,19
P0014,,PBKS,Batsman,30
P0015,,MI,All-Rounder,38
P0016,,LSG,All-Rounder,36
P0017,,KKR,Batsman,19
P0018,,KKR,All-Rounder,20
P0019,,KKR,Batsman,30
P0020,,SRH,Wicket Keeper,38
P0021,,RR,Bowler,29
P0022,,RR,Bowler,39
P0023,,SRH,Batsman,37
P0024,,CSK,Bowler,23
P0025,,PBKS,Wicket Keeper,26
P0026,,GT,Bowler,39
P0027,,RR,Batsman,25
P0028,,RCB,All-Rounder,30
P0029,,SRH,Batsman,24
P0030,,LSG,All-Rounder,24
P0031,,PBKS,Wicket Keeper,38
P0032,,PBKS,Bowler,26
P0033,,CSK,Bowler,35
P0034,,GT,All-Rounder,36
P0035,,DC,Wicket Keeper,29
P0036,,KKR,Bowler,34
P0037,,PBKS,Batsman,19
P0038,,MI,Bowler,38
P0039,,CSK,Wicket Keeper,37
P0040,,MI,Wicket Keeper,30
P0041,,LSG,Wicket Keeper,34
P0042,Player_42,SRH,Batsman,39
P0043,Player_43,MI,All-Rounder,38
P0044,Player_44,RR,Batsman,27
P0045,Player_45,DC,Bowler,32
P0046,Player_46,RCB,All-Rounder,34
P0047,Player_47,CSK,Batsman,38
P0048,Player_48,SRH,Bowler,22
P0049,Player_49,RR,Bowler,35
P0050,Player_50,GT,Batsman,37
P0051,Player_51,RR,Wicket Keeper,18
P0052,Player_52,MI,All-Rounder,27
P0053,Player_53,KKR,Batsman,25
P0054,Player_54,LSG,Batsman,20
P0055,Player_55,PBKS,Batsman,35
P0056,Player_56,CSK,Bowler,39
